character,X,Y,Z,H,DD,UD,S,result
F,-0.74367,0.93237,-4.84064,0.081,0.2448,0.1638,1,Yakavi
F,-0.24843,0.28750,-2.97383,0.1106,0.1425,0.0319,1,Yakavi
I,-1.50111,-0.02721,-0.82548,0.1146,0.1816,0.067,1,Yakavi
I,-0.18597,0.30502,-2.91897,0.1241,0.2198,0.0957,1,Yakavi
B,-0.25291,0.21911,-2.58436,0.0842,0.1372,0.053,1,Yakavi
K,-0.11974,0.22859,-2.85484,0.1016,0.1509,0.0493,1,Yakavi
L,-2.33015,0.13609,0.58082,0.0903,0.1552,0.0649,1,Yakavi
M,-0.47330,0.10980,-2.70970,0.1019,0.1665,0.0646,1,Yakavi
c,-0.17561,0.22795,-2.98892,0.0715,0.2192,0.1477,1,Yakavi
Y,-1.37845,-0.01359,-0.83883,0.1291,0.1697,0.0406,1,Yakavi
U,-1.10031,-0.03356,-0.69900,0.1032,0.1541,0.0509,1,Yakavi
X,-0.79741,-0.00163,-0.54916,0.0961,0.2438,0.1477,1,Yakavi
W,-0.62041,-0.00591,-0.42968,0.1254,0.2705,0.1451,1,Yakavi
V,-0.44537,0.03610,-0.58549,0.1016,0.1783,0.0767,1,Yakavi
N,-0.36562,0.06409,-0.45821,0.1288,0.1989,0.0701,1,Yakavi
L,-0.29166,0.05338,-0.09307,0.1085,0.1979,0.0894,1,Yakavi
J,-0.22650,0.08034,-0.08326,0.1185,0.2118,0.0933,1,Yakavi
E,-0.16647,0.06441,-0.04984,0.1312,0.191,0.0598,1,Yakavi
A,-0.13110,0.03279,0.00209,0.1006,0.1158,0.0152,1,Yakavi
F,-0.05200,0.06742,-0.02024,0.0916,0.1535,0.0619,1,Yakavi
L,-0.03348,0.08769,-0.00314,0.1222,0.1551,0.0329,1,Yakavi
V,-0.05047,0.08164,0.01410,0.1066,0.2031,0.0965,1,Yakavi
U,-0.07507,0.06826,-0.09675,0.0995,0.1609,0.0614,1,Yakavi
L,-0.07358,0.05894,-0.17228,0.1032,0.1733,0.0701,1,Yakavi
K,-0.03066,0.07376,-0.13965,0.1003,0.1915,0.0912,1,Yakavi
Y,0.00197,0.07297,-0.12856,0.0895,0.2198,0.1303,1,Yakavi
T,-0.01615,0.11312,-0.12329,0.0903,0.1807,0.0904,1,Yakavi
J,-0.03993,0.12844,-0.15493,0.1188,0.1515,0.0327,1,Yakavi
X,-0.03301,0.04629,-0.09356,0.0966,0.1446,0.048,1,Yakavi
S,-0.04900,0.05982,-0.11706,0.0932,0.1478,0.0546,1,Yakavi
R,-0.04084,0.09738,-0.10080,0.0859,0.5318,0.4459,1,Yakavi
W,-0.01303,0.11280,0.00257,0.1336,0.2663,0.1327,1,Yakavi
V,0.02938,0.09404,0.08153,0.1135,0.1266,0.0131,1,Yakavi
I,0.03927,0.09056,0.03525,0.1185,0.1472,0.0287,1,Yakavi
R,0.03458,0.10686,-0.07714,0.1117,0.157,0.0453,1,Yakavi
W,-0.03261,0.11356,-0.11488,0.1164,0.144,0.0276,1,Yakavi
Y,-0.00569,0.09883,0.00277,0.1154,0.1475,0.0321,1,Yakavi
O,-0.03764,0.07738,0.12451,0.1135,0.1836,0.0701,1,Yakavi
Q,-0.03169,0.08823,0.02609,0.065,0.1752,0.1102,1,Yakavi
P,-0.05916,0.08834,0.00451,0.1359,0.1686,0.0327,1,Yakavi
B,-0.01547,0.09893,0.02913,0.0982,0.1789,0.0807,1,Yakavi
E,-0.00426,0.12052,0.05796,0.1051,0.1834,0.0783,1,Yakavi
D,-0.00766,0.13122,0.00513,0.1299,0.1895,0.0596,1,Yakavi
O,0.02206,0.11403,0.00855,0.0855,0.1643,0.0788,1,Yakavi
S,0.02386,0.09857,-0.02007,0.1301,0.2021,0.072,1,Yakavi
L,-0.02774,0.08710,-0.05224,0.1124,0.2778,0.1654,1,Yakavi
Y,-0.07713,0.06443,-0.05570,0.1014,0.1319,0.0305,1,Yakavi
Q,-0.00674,0.06393,-0.00510,0.1219,0.1553,0.0334,1,Yakavi
@,0.02518,0.07473,0.00054,0.1064,0.1449,0.0385,1,Yakavi
U,-0.02805,0.12711,-0.01059,0.1056,0.1565,0.0509,1,Yakavi
Z,-0.01538,0.13473,0.05564,0.1027,0.1678,0.0651,1,Yakavi
W,-0.01613,0.11862,0.00278,0.118,0.195,0.077,1,Yakavi
Q,-0.03792,0.12324,-0.10031,0.0985,0.1512,0.0527,1,Yakavi
W,-0.03127,0.11229,-0.05059,0.1,0.1633,0.0633,1,Yakavi
A,-0.01500,0.09592,0.02931,0.104,0.1686,0.0646,1,Yakavi
E,-0.02483,0.09471,-0.00655,0.0942,0.248,0.1538,1,Yakavi
B,-0.03216,0.10621,0.01938,0.0665,0.1522,0.0857,1,Yakavi
D,-0.00519,0.11404,0.07175,0.104,0.2142,0.1102,1,Yakavi
c,-0.01689,0.09689,0.03855,0.0934,0.2693,0.1759,1,Yakavi
F,0.00433,0.11334,-0.09245,0.1027,0.2169,0.1142,1,Yakavi
O,-0.00057,0.10265,-0.07410,0.1048,0.1636,0.0588,1,Yakavi
K,-0.02508,0.08978,-0.01763,0.1059,0.1755,0.0696,1,Yakavi
S,-0.03284,0.10203,0.02578,0.1088,0.1963,0.0875,1,Yakavi
Q,0.03705,0.06111,-0.03449,0.0797,0.1717,0.092,1,Yakavi
Y,-0.00733,0.06717,-0.12410,0.1151,0.1298,0.0147,1,Yakavi
Q,-0.02012,0.07294,-0.10957,0.0628,0.2643,0.2015,1,Yakavi
X,-0.02973,0.10142,-0.03802,0.0781,0.1751,0.097,1,Yakavi
V,-0.01475,0.09595,0.07017,0.0898,0.1816,0.0918,1,Yakavi
B,0.01778,0.09222,0.01616,0.1357,0.3343,0.1986,1,Yakavi
G,-0.01166,0.10494,-0.01414,0.0966,0.1504,0.0538,1,Yakavi
A,-0.01306,0.10547,-0.03775,0.0942,0.1435,0.0493,1,Yakavi
P,-0.04598,0.11944,-0.01409,0.113,0.1443,0.0313,1,Yakavi
V,-0.03842,0.09065,0.02745,0.1219,0.1321,0.0102,1,Yakavi
R,0.00974,0.08889,-0.00442,0.1056,0.1425,0.0369,1,Yakavi
M,0.00325,0.11711,-0.06316,0.1077,0.1454,0.0377,1,Yakavi
H,-0.00049,0.11357,0.03032,0.1111,0.1353,0.0242,1,Yakavi
D,-0.01339,0.09521,0.05993,0.0863,0.1688,0.0825,1,Yakavi
J,-0.01421,0.09657,-0.05507,0.1344,0.171,0.0366,1,Yakavi
N,-0.02580,0.07537,-0.12089,0.0821,0.1295,0.0474,1,Yakavi
M,-0.02342,0.06762,-0.12020,0.113,0.1457,0.0327,1,Yakavi
L,0.00951,0.10166,-0.19033,0.0876,0.1453,0.0577,1,Yakavi
Q,-0.01997,0.08673,-0.30672,0.0721,0.1726,0.1005,1,Yakavi
R,-0.02716,0.20555,-0.61653,0.0913,0.163,0.0717,1,Yakavi
T,0.08230,0.29926,-0.76801,0.0821,0.1741,0.092,1,Yakavi
X,-0.03926,0.17957,-0.02215,0.0858,0.1282,0.0424,1,Yakavi
